вычисление 	70 	53 	картирование перемножение тригонометрический квадратичный интерполирование тензорное вычерчивание биномиальных разбиений трансфинитный диофантовых бремерманн вычитывание логарифма изосуммарные кватернионов вычисленное квантование нестационарного вариационный интегрирование стозначных уравнение шестидесятеричных диофантово коммутативно исчисление полуширины суммирование математический арифметических исследование радиан арифметико фотометрических отсчетов квадратур подкоренное некоммутативных переопределение антилогарифмов вычитание алгебраическое прослеживание вычисляемое ненулевого изосуммарных кеплеровых вычислялось эклиптикальные счисление флюентами параллаксов
отношение 	42 	33 	пиететное прямейшее относиться пренебрежительное касательство косвенное равнодушие уважительное имеет уважение пренебрежение скептическое предвзятое пофигистическое мнение пристрастие соотношение значение причастно поведение негативное отрицательное неуважительное часону наплевательское расследуемой неравнодушие благожелательное предубежденное презрение неприязненное непосредственное неуважение
хлеб 	48 	41 	хлебец овес хлебушко выпечь каравай выпекался насущный хлебушек цельнозерновой хлебный сыр несдобное ржаной ломоть чурек пайковый немолотый несоленый сухари зачерствевший бесквасный фрукты непросеянный выпекаемый обдирный сискал черствый каравашек свежевыпеченный колбасу картофель едомый пшеничный сахар отрубной бездрожжевой булки обмолочен неотвеянного краюху хлебопашенные
культура 	50 	43 	среднестоговская трипольско белогрудовская хараппская ямная эстетика чернолесская поэзия литература культурный цивилизация псевдокультура экономика срубная протошумерская лужицкая наука догосударственная натуфийская мустьерская религия зарубинецкая милоградская кельтеминарская балтская письменность пшеворская араттско этнология карасукская идеология фатьяновская новоевропейская древнеямная мадленская общесоциорная ашельская ортокультура философия латенская индоарийская черняховская мифология
энергия 	48 	41 	высвободившаяся биоэнергия анергия жизненная междуатомной испускаемая подпитывающая неусвоенная первосила неструктурированная высвобождаться неистраченная кинетическая внутриядерная внутринуклонного биопластмассе аккумулироваться аккумулировать генерировалась праническая расходуемую биоэлектричество сверхэнергия преобразующаяся всеначальная высокоэнергетическая виталическая электростатика накапливаемая излучаемая сконденсирована запасенная всеобновляющая сила сконцентрированная накопленная неизрасходованная излучающаяся высвобождаемая внутриатомная антиэнергия
архитектура 	58 	45 	малоэтажная застройка орнаментация терратектура оформительское ренесанса зодчество поэзия барокко геометрия гиероглифическая архитектурный градостроительная постройка готика позднесталинская палладианская градостроительство псевдоготика неоготика кафедральная топография вайдахуняд ландшафтная крестовокупольная плафонная готическая геометричность планировка музыка конструктивистская платереско орнаментика стенопись культура фразировка станковая псевдоготических архитекторский фресковая скульптура вазовая полихромия неоготический живопись
выгода 	54 	45 	убыток профит максимизируется услуга маржа инвестиция взаимовыгодность невыгода возмездная суммма барыш сверхприбыль невыгодно скоплена дотация прок прогораешь автореферентность возмещаете польза прибыльность коньюнктура маржинальная данинг выгодный нажива труднота балансовая взаимовыгодна выгадано выгодность прибыль нован корысть сантиках сделка проистечь недоплата погибельна перекупишь необлагаемая экономия потребительная причина обоюдовыгодная
мальчик 	43 	39 	мальчонка пацан мальчишка бассон подросток сынок балиос витнир отец юный алгопистолетом заагукал фадейка взимок юноша мальчуган малыш малец келрик паренек парнишка акылбай ребенок великанчик негритенок никаншин карапуз спальчик кенджеш сынишка маленький одиннадцатилетний старик сын хилгод девочка девятилетний четырехгодовалый парень
драгоценность 	42 	35 	брошечку бесценное безделушка неоправленный изумруд реликвия драгоценный парюру многоценную вещица брошь жемчужина фермуаром нумизматическую побрякушку ожерелье талисман лорринаре неграненый брильянт жемчужинку брошку регалию пентагондодекаэдр кайоннерай пектораль шкатулку сокровище бучилина бриллиант вещь присцианы рейвенуортов ценность святыню
омар 	44 	41 	халим джеззар хафиз аля халид абдаллах абд муса ахмад хусейн амир абулаббас ибн умар исмаил хасан мохаммед хамид мухаммед ахмед юсуф мустафа махмуд ибрагим азиз сулейман аббас мансур рашид абу джафар бармакид мурад хайям араб абдулла али шейх осман хаким эмир
